,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Bora Bora,10758.0,293.0,109.0,1381.0,8975.0,0.027235545640453617,0.010131994794571482,0.12836958542480015,0.8342628741401747,100.0,10758.0
Bora Bora,10758.0,271.0,95.0,1319.0,9073.0,0.025190555865402493,0.008830637664993493,0.12260643242238334,0.8433723740472207,101.0,10758.0
Bora Bora,10758.0,277.0,83.0,1208.0,9190.0,0.025748280349507345,0.007715188696783789,0.11228852946644358,0.8542480014872653,102.0,10758.0
Bora Bora,10758.0,252.0,75.0,1171.0,9260.0,0.023424428332403793,0.006971556051310652,0.10884922848113032,0.8607547871351552,103.0,10758.0
Bora Bora,10758.0,240.0,69.0,1096.0,9353.0,0.022308979364194088,0.006413831567205801,0.10187767242981967,0.8693995166387805,104.0,10758.0
Bora Bora,10758.0,238.0,67.0,996.0,9457.0,0.022123071202825802,0.006227923405837516,0.09258226436140547,0.8790667410299312,105.0,10758.0
Bora Bora,10758.0,235.0,61.0,932.0,9530.0,0.021844208960773378,0.005670198921732664,0.08663320319762037,0.8858523889198736,106.0,10758.0
Bora Bora,10758.0,236.0,57.0,880.0,9585.0,0.02193716304145752,0.005298382598996096,0.081799591002045,0.8909648633575014,107.0,10758.0
Bora Bora,10758.0,230.0,47.0,812.0,9669.0,0.021379438557352668,0.004368841792154675,0.07547871351552334,0.8987730061349694,108.0,10758.0
Bora Bora,10758.0,223.0,46.0,775.0,9714.0,0.020728759992563673,0.0042758877114705334,0.07203941253021008,0.9029559397657557,109.0,10758.0
Bora Bora,10758.0,214.0,41.0,734.0,9769.0,0.019892173266406396,0.003811117308049823,0.06822829522216026,0.9080684142033836,110.0,10758.0
Bora Bora,10758.0,208.0,32.0,693.0,9825.0,0.019334448782301544,0.002974530581892545,0.06441717791411043,0.9132738427216954,111.0,10758.0
Bora Bora,10758.0,197.0,35.0,649.0,9877.0,0.01831195389477598,0.003253392823944971,0.06032719836400818,0.9181074549172709,112.0,10758.0
Bora Bora,10758.0,201.0,30.0,611.0,9916.0,0.01868377021751255,0.002788622420524261,0.05679494329801078,0.9217326640639524,113.0,10758.0
Bora Bora,10758.0,194.0,27.0,568.0,9969.0,0.018033091652723553,0.0025097601784718347,0.05279791782859267,0.9266592303402119,114.0,10758.0
Bora Bora,10758.0,199.0,27.0,536.0,9996.0,0.018497862056144263,0.0025097601784718347,0.04982338724670013,0.9291689905186837,115.0,10758.0
Bora Bora,10758.0,196.0,22.0,489.0,10051.0,0.01821899981409184,0.002044989775051125,0.045454545454545456,0.9342814649563116,116.0,10758.0
Bora Bora,10758.0,194.0,18.0,453.0,10093.0,0.018033091652723553,0.0016731734523145567,0.04210819854991634,0.9381855363450455,117.0,10758.0
Bora Bora,10758.0,197.0,15.0,407.0,10139.0,0.01831195389477598,0.0013943112102621305,0.03783231083844581,0.9424614240565161,118.0,10758.0
Bora Bora,10758.0,191.0,16.0,396.0,10155.0,0.01775422941067113,0.0014872652909462725,0.03680981595092025,0.9439486893474623,119.0,10758.0
Bora Bora,10758.0,183.0,22.0,373.0,10180.0,0.01701059676519799,0.002044989775051125,0.03467187209518498,0.946272541364566,120.0,10758.0
Bora Bora,10758.0,181.0,15.0,360.0,10202.0,0.01682468860382971,0.0013943112102621305,0.03346346904629113,0.948317531139617,121.0,10758.0
Bora Bora,10758.0,181.0,12.0,347.0,10218.0,0.01682468860382971,0.0011154489682097045,0.03225506599739729,0.9498047964305633,122.0,10758.0
Bora Bora,10758.0,177.0,10.0,334.0,10237.0,0.01645287228109314,0.0009295408068414204,0.031046662948503438,0.951570923963562,123.0,10758.0
Bora Bora,10758.0,171.0,10.0,304.0,10273.0,0.015895147796988286,0.0009295408068414204,0.02825804052797918,0.9549172708681911,124.0,10758.0
Bora Bora,10758.0,173.0,8.0,279.0,10298.0,0.01608105595835657,0.0007436326454731362,0.025934188510875627,0.9572411228852946,125.0,10758.0
Bora Bora,10758.0,163.0,12.0,246.0,10337.0,0.015151515151515152,0.0011154489682097045,0.02286670384829894,0.9608663320319762,126.0,10758.0
Bora Bora,10758.0,160.0,13.0,236.0,10349.0,0.014872652909462726,0.0012084030488938465,0.02193716304145752,0.9619817810001859,127.0,10758.0
Bora Bora,10758.0,155.0,14.0,224.0,10365.0,0.014407882506042016,0.0013013571295779885,0.020821714073247816,0.9634690462911322,128.0,10758.0
Bora Bora,10758.0,154.0,12.0,219.0,10373.0,0.014314928425357873,0.0011154489682097045,0.020356943669827106,0.9642126789366053,129.0,10758.0
Bora Bora,10758.0,150.0,10.0,201.0,10397.0,0.013943112102621304,0.0009295408068414204,0.01868377021751255,0.9664435768730247,130.0,10758.0
Bora Bora,10758.0,593.0,48.0,340.0,9777.0,0.05512176984569623,0.004461795872838818,0.031604387432608294,0.9088120468488566,131.0,10758.0
Bora Bora,10758.0,884.0,62.0,431.0,9381.0,0.08217140732478156,0.005763153002416806,0.04006320877486522,0.8720022308979364,132.0,10758.0
Bora Bora,10758.0,1092.0,107.0,488.0,9071.0,0.1015058561070831,0.009946086633203198,0.04536159137386131,0.8431864658858524,133.0,10758.0
Bora Bora,10758.0,1253.0,128.0,533.0,8844.0,0.11647146309722997,0.01189812232757018,0.049544525004647705,0.8220858895705522,134.0,10758.0
Bora Bora,10758.0,1346.0,157.0,620.0,8635.0,0.1251161926008552,0.0145937906674103,0.057631530024168064,0.8026584867075665,135.0,10758.0
Bora Bora,10758.0,1447.0,145.0,628.0,8538.0,0.13450455474995351,0.013478341699200595,0.0583751626696412,0.7936419408812047,136.0,10758.0
Bora Bora,10758.0,1501.0,154.0,629.0,8474.0,0.13952407510689718,0.014314928425357873,0.05846811675032534,0.7876928797174196,137.0,10758.0
Bora Bora,10758.0,1576.0,183.0,622.0,8377.0,0.14649563115820785,0.01701059676519799,0.05781743818553634,0.7786763338910578,138.0,10758.0
Bora Bora,10758.0,1574.0,174.0,627.0,8383.0,0.14630972299683956,0.016174010039040714,0.05828220858895705,0.7792340583751627,139.0,10758.0
Bora Bora,10758.0,1558.0,184.0,680.0,8336.0,0.14482245770589328,0.017103550845882134,0.06320877486521659,0.774865216583008,140.0,10758.0
Bora Bora,10758.0,1633.0,162.0,685.0,8278.0,0.15179401375720394,0.01505856107083101,0.06367354526863729,0.7694738799033277,141.0,10758.0
Bora Bora,10758.0,1611.0,186.0,678.0,8283.0,0.1497490239821528,0.01728945900725042,0.0630228667038483,0.7699386503067485,142.0,10758.0
Bora Bora,10758.0,1599.0,169.0,669.0,8321.0,0.14863357501394311,0.015709239635620004,0.06218627997769102,0.7734709053727459,143.0,10758.0
Bora Bora,10758.0,1593.0,168.0,656.0,8341.0,0.14807585052983827,0.015616285554935862,0.06097787692879717,0.7753299869864287,144.0,10758.0
Bora Bora,10758.0,1588.0,166.0,616.0,8388.0,0.14761108012641755,0.015430377393567578,0.05725971370143149,0.7796988287785834,145.0,10758.0
Bora Bora,10758.0,1556.0,173.0,570.0,8459.0,0.144636549544525,0.01608105595835657,0.05298382598996096,0.7862985685071575,146.0,10758.0
Bora Bora,10758.0,1546.0,161.0,596.0,8455.0,0.14370700873768358,0.014965606990146867,0.055400632087748654,0.7859267521844209,147.0,10758.0
Bora Bora,10758.0,1480.0,163.0,594.0,8521.0,0.1375720394125302,0.015151515151515152,0.05521472392638037,0.7920617215095743,148.0,10758.0
Bora Bora,10758.0,1489.0,161.0,575.0,8533.0,0.13840862613868748,0.014965606990146867,0.05344859639338167,0.793177170477784,149.0,10758.0
Bora Bora,10758.0,1494.0,153.0,533.0,8578.0,0.1388733965421082,0.01422197434467373,0.049544525004647705,0.7973601041085704,150.0,10758.0
Bora Bora,10758.0,1489.0,144.0,546.0,8579.0,0.13840862613868748,0.013385387618516454,0.05075292805354155,0.7974530581892545,151.0,10758.0
Bora Bora,10758.0,1493.0,139.0,529.0,8597.0,0.13878044246142407,0.012920617215095742,0.049172708681911134,0.799126231641569,152.0,10758.0
Bora Bora,10758.0,1474.0,135.0,523.0,8626.0,0.13701431492842536,0.012548800892359175,0.048614984197806285,0.8018218999814092,153.0,10758.0
Bora Bora,10758.0,1441.0,138.0,493.0,8686.0,0.13394683026584867,0.012827663134411601,0.04582636177728202,0.8073991448224577,154.0,10758.0
Bora Bora,10758.0,1451.0,150.0,509.0,8648.0,0.1348763710726901,0.013943112102621304,0.047313627068228295,0.8038668897564603,155.0,10758.0
Bora Bora,10758.0,1431.0,137.0,521.0,8669.0,0.13301728945900726,0.012734709053727459,0.048429076036438,0.8058189254508273,156.0,10758.0
Bora Bora,10758.0,1417.0,138.0,513.0,8690.0,0.13171593232942927,0.012827663134411601,0.047685443390964866,0.8077709611451943,157.0,10758.0
Bora Bora,10758.0,1378.0,122.0,500.0,8758.0,0.12809072318274772,0.011340397843465327,0.046477040342071015,0.814091838631716,158.0,10758.0
Bora Bora,10758.0,1323.0,109.0,480.0,8846.0,0.12297824874511991,0.010131994794571482,0.044617958728388175,0.8222717977319204,159.0,10758.0
Bora Bora,10758.0,1293.0,114.0,473.0,8878.0,0.12018962632459565,0.010596765197992191,0.04396728016359918,0.825246328313813,160.0,10758.0
Bora Bora,10758.0,1323.0,108.0,456.0,8871.0,0.12297824874511991,0.010039040713887339,0.042387060791968766,0.824595649749024,161.0,10758.0
Bora Bora,10758.0,1332.0,109.0,438.0,8879.0,0.1238148354712772,0.010131994794571482,0.04071388733965421,0.8253392823944972,162.0,10758.0
Bora Bora,10758.0,1332.0,116.0,391.0,8919.0,0.1238148354712772,0.010782673359360477,0.03634504554749954,0.8290574456218628,163.0,10758.0
Bora Bora,10758.0,1334.0,107.0,399.0,8918.0,0.12400074363264547,0.009946086633203198,0.03708867819297267,0.8289644915411787,164.0,10758.0
Bora Bora,10758.0,1313.0,108.0,395.0,8942.0,0.12204870793827849,0.010039040713887339,0.0367168618702361,0.8311953894775981,165.0,10758.0
Bora Bora,10758.0,1288.0,117.0,414.0,8939.0,0.11972485592117493,0.010875627440044618,0.0384829894032348,0.8309165272355457,166.0,10758.0
Bora Bora,10758.0,1283.0,112.0,404.0,8959.0,0.11926008551775423,0.010410857036623908,0.03755344859639338,0.8327756088492285,167.0,10758.0
Bora Bora,10758.0,1266.0,98.0,383.0,9011.0,0.11767986614612382,0.00910949990704592,0.0356014129020264,0.8376092210448038,168.0,10758.0
Bora Bora,10758.0,1293.0,91.0,383.0,8991.0,0.12018962632459565,0.008458821342256924,0.0356014129020264,0.835750139431121,169.0,10758.0
Bora Bora,10758.0,1268.0,95.0,372.0,9023.0,0.1178657743074921,0.008830637664993493,0.03457891801450084,0.8387246700130135,170.0,10758.0
Bora Bora,10758.0,1267.0,90.0,345.0,9056.0,0.11777282022680796,0.008365867261572783,0.032069157836029004,0.8417921546755902,171.0,10758.0
Bora Bora,10758.0,1251.0,85.0,314.0,9108.0,0.11628555493586168,0.007901096858152074,0.0291875813348206,0.8466257668711656,172.0,10758.0
Bora Bora,10758.0,1268.0,77.0,304.0,9109.0,0.1178657743074921,0.007157464212678937,0.02825804052797918,0.8467187209518497,173.0,10758.0
Bora Bora,10758.0,1253.0,78.0,329.0,9098.0,0.11647146309722997,0.007250418293363078,0.03058189254508273,0.8456962260643243,174.0,10758.0
Bora Bora,10758.0,1260.0,72.0,332.0,9094.0,0.11712214166201897,0.006692693809258227,0.030860754787135156,0.8453244097415876,175.0,10758.0
Bora Bora,10758.0,1204.0,65.0,316.0,9173.0,0.111916713143707,0.006042015244469233,0.029373489496188884,0.8526677821156349,176.0,10758.0
Bora Bora,10758.0,1242.0,61.0,312.0,9143.0,0.1154489682097044,0.005670198921732664,0.029001673173452314,0.8498791596951106,177.0,10758.0
Bora Bora,10758.0,1223.0,53.0,312.0,9170.0,0.11368284067670571,0.004926566276259528,0.029001673173452314,0.8523889198735825,178.0,10758.0
Bora Bora,10758.0,1188.0,63.0,311.0,9196.0,0.11042944785276074,0.005856107083100948,0.02890871909276817,0.8548057259713702,179.0,10758.0
Bora Bora,10758.0,1189.0,71.0,306.0,9192.0,0.11052240193344488,0.006599739728574084,0.02844394868934746,0.8544339096486335,180.0,10758.0
